2023-03-21 19:00:31.5643|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:31.7460|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:31.7460|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-03-21 19:00:31.7460|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:31.7460|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-03-21 19:00:31.7460|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" received HEADERS frame for stream ID 1 with length 474 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-03-21 19:00:31.7961|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-03-21 19:00:31.8665|2|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.HostFiltering.LoggerExtensions.AllHostsAllowed
2023-03-21 19:00:32.1376|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:32.4199|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:32.4199|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:32.4296|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:32.4296|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:32.4296|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 1 with length 992 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:32.4296|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 1 with length 65 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:32.4296|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 1 with length 16 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:32.5087|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
