2023-04-01 14:19:30.0073|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:30.1955|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:30.2022|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-01 14:19:30.2022|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:30.2165|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-01 14:19:30.2165|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" received HEADERS frame for stream ID 1 with length 474 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-01 14:19:30.3205|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-01 14:19:30.4223|2|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.HostFiltering.LoggerExtensions.AllHostsAllowed
2023-04-01 14:19:30.7846|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:31.4685|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:31.4685|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:31.4685|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:31.4685|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:31.4685|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 1 with length 992 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:31.4685|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 1 with length 65 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:31.4685|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 1 with length 16 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:31.4929|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" received HEADERS frame for stream ID 3 with length 146 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-01 14:19:31.4929|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" received HEADERS frame for stream ID 5 with length 68 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-01 14:19:31.4929|2|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui.css|action: |Microsoft.AspNetCore.HostFiltering.LoggerExtensions.AllHostsAllowed
2023-04-01 14:19:31.4929|2|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |Microsoft.AspNetCore.HostFiltering.LoggerExtensions.AllHostsAllowed
2023-04-01 14:19:31.4929|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-01 14:19:31.4971|2|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |Microsoft.AspNetCore.HostFiltering.LoggerExtensions.AllHostsAllowed
2023-04-01 14:19:31.5678|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |Microsoft.AspNetCore.Internal.RangeHelper.ParseRange
2023-04-01 14:19:31.5678|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |Microsoft.AspNetCore.Internal.RangeHelper.ParseRange
2023-04-01 14:19:31.5678|0|TRACE|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Range header's value is empty. |url: https://localhost/swagger/swagger-ui.css|action: |Microsoft.AspNetCore.Internal.RangeHelper.ParseRange
2023-04-01 14:19:31.5678|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending HEADERS frame for stream ID 7 with length 114 and flags END_STREAM, END_HEADERS. |url: https://localhost/swagger/swagger-ui-standalone-preset.js|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:31.5678|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending HEADERS frame for stream ID 5 with length 25 and flags END_STREAM, END_HEADERS. |url: https://localhost/swagger/swagger-ui-bundle.js|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:31.5678|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending HEADERS frame for stream ID 3 with length 34 and flags END_STREAM, END_HEADERS. |url: https://localhost/swagger/swagger-ui.css|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:31.6070|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.7806|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" received HEADERS frame for stream ID 9 with length 51 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-01 14:19:38.7806|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" received HEADERS frame for stream ID 11 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-01 14:19:38.7998|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending HEADERS frame for stream ID 9 with length 90 and flags END_HEADERS. |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.8313|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 9 with length 11990 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.8402|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 9 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.8402|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending HEADERS frame for stream ID 11 with length 119 and flags END_HEADERS. |url: https://localhost/_vs/browserLink|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 9986 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9647|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9807|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9807|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9807|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9807|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9807|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9807|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9807|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-01 14:19:38.9807|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPILDBAEFOT" sending DATA frame for stream ID 11 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
