2023-04-13 19:44:49.7704|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:50.0868|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:50.0868|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-13 19:44:50.0868|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:50.0868|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-13 19:44:50.0992|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" received HEADERS frame for stream ID 1 with length 475 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-13 19:44:50.1578|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-04-13 19:44:50.2756|2|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.HostFiltering.LoggerExtensions.AllHostsAllowed
2023-04-13 19:44:50.9744|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:51.6432|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:51.6463|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:51.6463|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
