2023-05-04 18:11:54.6872|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:54.8712|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:54.8712|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-04 18:11:54.8712|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:54.8712|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-04 18:11:54.8712|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" received HEADERS frame for stream ID 1 with length 475 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-04 18:11:54.9386|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-04 18:11:55.0594|2|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.HostFiltering.LoggerExtensions.AllHostsAllowed
2023-05-04 18:11:55.5830|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:55.9451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:55.9451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:55.9451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:55.9451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:55.9451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 1 with length 992 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:55.9451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 1 with length 65 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:55.9451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" sending DATA frame for stream ID 1 with length 16 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-04 18:11:55.9597|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQCN931FHDV" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
