2023-05-18 20:09:23.7352|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:23.9208|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:23.9208|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-18 20:09:23.9208|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:23.9208|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-18 20:09:23.9208|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" received HEADERS frame for stream ID 1 with length 1259 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-18 20:09:23.9575|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-18 20:09:24.0290|2|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.HostFiltering.LoggerExtensions.AllHostsAllowed
2023-05-18 20:09:24.3164|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:24.6465|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:24.6465|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
