2023-05-26 17:20:08.5464|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:08.6936|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:08.6936|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-26 17:20:08.6936|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:08.6936|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-26 17:20:08.7084|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" received HEADERS frame for stream ID 1 with length 475 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-26 17:20:08.7484|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-26 17:20:08.8433|2|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.HostFiltering.LoggerExtensions.AllHostsAllowed
2023-05-26 17:20:09.4906|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:10.0236|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:10.0493|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:10.0493|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:10.0493|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:10.0493|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 1 with length 992 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:10.0493|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 1 with length 65 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:10.0632|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 1 with length 16 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:10.1349|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:11.2387|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
